Record_ID,geo_county,geo_subcounty
KEN-NBI-070,Nairobi,Langata
KEN-NBI-071,Nairobi,Langata
KEN-NBI-088,Nairobi,Langata
KEN-NBI-098,Nairobi,Langata
KEN-MCK-067,Nairobi,Langata
KEN-NBI-127,Nairobi,Langata
KEN-NBI-138,Nairobi,Langata
KEN-NBI-190,Nairobi,Langata
KEN-NBI-191,Nairobi,Langata
KEN-NBI-262,Nairobi,Langata
KEN-NBI-263,Nairobi,Langata
KEN-NBI-265,Nairobi,Langata
KEN-NBI-353,Nairobi,Langata
KEN-NBI-354,Nairobi,Langata
KEN-NBI-355,Nairobi,Langata
KEN-NBI-358,Nairobi,Langata
KEN-NBI-401,Nairobi,Langata
KEN-NBI-403,Nairobi,Langata
KEN-NBI-412,Nairobi,Langata
KEN-NBI-444,Nairobi,Langata
KEN-NBI-445,Nairobi,Langata
LWC-2015-006,Nairobi,Langata
LWC-2019-029,Nairobi,Langata
KEN-KBU-168,Nairobi,Langata
KE_LWC_135,Nairobi,Langata
KE_LWC_139,Nairobi,Embakasi South
KEN-NBI-467,Nairobi,Langata
KE_LWC_180,Nairobi,Langata
KE_LWC_185,Nairobi,Langata
KE_LWC_189,Nairobi,Embakasi South
KE_LWC_209,Nairobi,Langata
KEN-NBI-471,Nairobi,Langata
KE_LWC_229,Nairobi,Langata
KE_LWC_261,Nairobi,Langata
KE_LWC_281,Nairobi,Langata
KEN-NBI-482,Nairobi,Langata
KEN-NBI-483,Nairobi,Langata
KEN-NBI-484,Nairobi,Langata
KEN-NBI-485,Nairobi,Langata
KE_LWC_305,Nairobi,Langata
KEN-NBI-493,Nairobi,Langata
KEN-TRK-001,Turkana,Turkana North
KEN-TRK-002,Turkana,Loima
KEN-TRK-004,Turkana,Turkana Central
KEN-TRK-005,Turkana,Turkana West
KEN-TRK-006,Turkana,Turkana West
KEN-TRK-009,Turkana,Turkana South
KEN-TRK-010,Turkana,Turkana Central
KEN-TRK-011,Turkana,Turkana Central
KEN-TRK-012,Turkana,Turkana South
KEN-TRK-013,Turkana,Turkana West
KEN-TRK-015,Turkana,Turkana Central
KEN-TRK-016,Turkana,Turkana Central
KEN-TRK-017,Turkana,Turkana West
KEN-TRK-018,Turkana,Turkana South
KEN-TRK-019,Turkana,Turkana Central
KEN-TRK-020,Turkana,Turkana Central
KEN-TRK-022,Turkana,Turkana South
KEN-TRK-024,Turkana,Turkana West
KEN-TRK-031,Turkana,Turkana Central
KEN-TRK-032,Turkana,Loima
KEN-TRK-034,Turkana,Turkana West
KEN-TRK-035,Turkana,Turkana South
KEN-TRK-036,Turkana,Turkana West
KEN-TRK-037,Turkana,Loima
KEN-TRK-040,Turkana,Turkana Central
KEN-TRK-041,Turkana,Turkana East
KEN-TRK-042,Turkana,Turkana North
KEN-TRK-043,Turkana,Turkana Central
TRK-001,Turkana,Turkana Central
TRK-002,Turkana,Turkana Central
TRK-006,Turkana,Turkana Central
TRK-007,Turkana,Turkana North
